"","medal","beer_name","brewery","city","state","category","year"
"2892","Gold","Leinenkugel's Berry Weiss","Jacob Leinenkugel Brewing Co.","Chippewa Falls","WI","Fruit Beer or Vegetable Beer",2007
"2893","Silver","The Great Pumpkin","Elysian Brewing Co.","Seattle","WA","Fruit Beer or Vegetable Beer",2007
"2894","Bronze","Raspberry Tart","New Glarus Brewing Co.","New Glarus","WI","Fruit Beer or Vegetable Beer",2007
"2895","Gold","Alt","Herkimer Pub and Brewery","Minneapolis","MN","German Style Brown Ale/D=C3=BCsseldorf Style Altbier",2007
"2896","Bronze","Gordon Biersch Alt","Gordon Biersch Brewery Restaurant Group","Chattanooga","TN","German Style Brown Ale/DC3=BCsseldorf Style Altbier",2007
"2897","Gold","Saint Arnold Fancy Lawnmower","Saint Arnold Brewing Co.","Houston","TX","German Style KC3=B6lsch/K==C3=B6ln Style K=C3=B6lsch",2007
"2898","Silver","Colorado KC3=B6lsch","Steamworks Brewing Co.","Durango/Bayfield","CO","German Style KC3=B6lsch/K=C3=B6ln Style K=C3=B6lsch=",2007
"2899","Bronze","Gordon Biersch SummerFest","Gordon Biersch Brewery Restaurant Group","Chattanooga","TN","German Style KC3=B6lsch/K=C3=B6ln Style K=C3=B6lsch",2007
"2900","Gold","Victory Festbier","Victory Brewing Co.","Downingtown","PA","German Style MC3=A4rzen",2007
"2901","Silver","Stewart's Oktoberfest","Stewart's Brewing Co.","Bear","DE","German Style MC3=A4rzen",2007
"2902","Gold","Gordon Biersch Schwarzbier","Gordon Biersch Brewery Restaurant Group","Chattanooga","TN","German Style Schwarzbier",2007
"2903","Silver","Redrock Black Bier","Redrock Brewing Co.","Salt Lake City","UT","German Style Schwarzbier",2007
"2904","Gold","Samuel Adams Double Bock","Boston Beer Co.","Boston","MA","German Style Strong Bock",2007
"2905","Bronze","Instigator","Sly Fox Brewing Co.","Royersford","PA","German Style Strong Bock",2007
"2906","Gold","Pikeland Pils","Sly Fox Brewing Co.","Royersford","PA","German-Style Pilsener",2007
"2907","Silver","Prima Pils","Victory Brewing Co.","Downingtown","PA","German-Style Pilsener",2007
"2908","Bronze","Kingfisher Premium Lager Beer","Olde Saratoga Brewing Co.","Saratoga Springs","NY","German-Style Pilsener",2007
"2909","Gold","Boscos Hefeweizen","Boscos Brewing Co.","Memphis","TN","German-Style Wheat Ale",2007
"2910","Silver","Dark 'n' Curvy","Piece Brewery","Chicago","IL","German-Style Wheat Ale",2007
"2911","Bronze","Gordon Biersch Hefeweizen","Gordon Biersch Brewery Restaurant Group","Chattanooga","TN","German-Style Wheat Ale",2007
"2912","Gold","RedBridge","Anheuser-Busch, Inc","St. Louis","MO","Gluten Free Beer",2007
"2913","Silver","New Grist","Lakefront Brewery Inc","Milwaukee","WI","Gluten Free Beer",2007
"2914","Bronze","Shakparo Ale","Sprecher Brewing Co.","Glendale","WI","Gluten Free Beer",2007
"2915","Silver","Kiwanda Cream Ale","Pelican Pub & Brewery","Pacific City","OR","Golden or Blonde Ale",2007
"2916","Bronze","Mississippi Blonde","Bent River Brewing Co.","Moline","IL","Golden or Blonde Ale",2007
"2917","Gold","Summertime 69","Gunnison Brewery","Gunnison","CO","Herb and Spice Beer",2007
"2918","Bronze","Frederick Miller Classic Chocolate Lager","Miller Brewing Co.","Milwaukee","WI","Herb and Spice Beer",2007
"2919","Gold","Hopsickle","Moylan's Brewing Co.","Novato","CA","Imperial or Double India Pale Ale",2007
"2920","Silver","Moylander","Moylan's Brewing Co.","Novato","CA","Imperial or Double India Pale Ale",2007
"2921","Bronze","Double Trouble Imperial IPA","21st Amendment Brewery","San Francisco","CA","Imperial or Double India Pale Ale",2007
"2922","Bronze","Extra Special Red","Odell Brewing Co.","Fort Collins","CO","Imperial or Double Red Ale",2007
"2923","Gold","Abyss","Deschutes Brewery","Bend","OR","Imperial Stout",2007
"2924","Silver","TAPS Imperial Stout","TAPS Fish House & Brewery","Brea","CA","Imperial Stout",2007
"2925","Bronze","Russian Imperial Stout","Rogue Ales","Newport","OR","Imperial Stout",2007
"2926","Gold","4K Pils","Deschutes Brewery","Bend","OR","International-Style Pilsener",2007
"2927","Silver","Southside Pils","Gordon Biersch Brewery Restaurant Group","Chattanooga","TN","International-Style Pilsener",2007
"2928","Bronze","Pig's Eye Pilsner Beer","Pig's Eye Brewing Co.","Woodbury","MN","International-Style Pilsener",2007
"2929","Gold","Red Rocks Red","Rock Bottom Brewery - Westminster","Westminster","CO","Irish-Style Red Ale",2007
"2930","Silver","Crimson Phog","23rd Street Brewery","Lawrence","KS","Irish-Style Red Ale",2007
"2931","Bronze","Enchanted Rock Red Ale","Fredericksburg Brewing Co.","Fredericksburg","TX","Irish-Style Red Ale",2007
"2932","Gold","El Amigo Light","Mission Brewery","San Diego","CA","M=C3=BCnchner (Munich) Style Helles",2007
"2933","Bronze","What in the Helles?","Steamworks Brewing Co.","Durango/Bayfield","CO","MC3=BCnchner (Munich) Style Hell=es",2007
"2934","Gold","Blue Corn Oatmeal Stout","New Mexico Brewers Guild","Santa Fe","NM","Oatmeal Stout",2007
"2935","Bronze","Alaskan Stout","Alaskan Brewing Co.","Juneau","AK","Oatmeal Stout",2007
"2936","Gold","Old Woody","Fish Brewing Co.","Olympia","WA","Old Ale or Strong Ale",2007
"2937","Silver","Firestone Extra Pale","Firestone Walker Brewing Co.","Paso Robles","CA","Other Low Strength Ale or Lager",2007
"2938","Bronze","Firestone Lager (Mini-Hell)","Firestone Walker Brewing Co.","Paso Robles","CA","Other Low Strength Ale or Lager",2007
"2939","Gold","Derail Ale","Durango Brewing Co.","Durango","CO","Other Strong Ale or Lager",2007
"2940","Silver","Dragonstooth Stout","Elysian Brewing Co.","Seattle","WA","Other Strong Ale or Lager",2007
"2941","Bronze","Bottleworks VIII","Flyers Restaurant and Brewery","Oak Harbor","WA","Other Strong Ale or Lager",2007
"2942","Gold","English Style India Pale Ale","Allentown/Bethlehem Brew Works","Allentown","PA","Pro-Am Competition",2007
"2943","Silver","Kentucky Weissbier","Alltech's Lexington Brewing Co.","Lexington","KY","Pro-Am Competition",2007
"2944","Bronze","Sculpin IPA","Ballast Point Brewing Co.","San Diego","CA","Pro-Am Competition",2007
"2945","Gold","English Style India Pale Ale","Allentown/Bethlehem Brew Works","Allentown","PA","Proam",2007
"2946","Silver","Kentucky Weissbier","Alltech's Lexington Brewing Co.","Lexington","KY","Proam",2007
"2947","Bronze","Sculpin IPA","Ballast Point Brewing Co.","San Diego","CA","Proam",2007
"2948","Gold","Pt. Reyes Porter","Marin Brewing Co.","Larkspur","CA","Robust Porter",2007
"2949","Bronze","Planet Porter","Boulder Beer Co.","Boulder","CO","Robust Porter",2007
"2950","Gold","Crazy Jackass Ale","Great American Restaurants","Centreville","VA","Rye Beer",2007
"2951","Silver","Rockchuck Rye","Snake River Brewing of Lander","Lander","WY","Rye Beer",2007
"2952","Silver","Laughing Lab Scottish Ale","Bristol Brewing Co.","Colorado Springs","CO","Scottish Style Ale",2007
"2953","Gold","Smokey the Beer","Blind Tiger Brewery & Restaurant","Topeka","KS","Smoke-Flavored Beer",2007
"2954","Silver","Alaskan Smoked Porter 2006","Alaskan Brewing Co.","Juneau","AK","Smoke-Flavored Beer",2007
"2955","Bronze","Smokin Willie Porter","Moose's Tooth Brewing Co.","Anchorage","AK","Smoke-Flavored Beer",2007
"2956","Gold","Hefeweizen","Beaver Street Brewery & Whistle Stop CafC3=A9","Flagstaff","AZ","South German Style Hefeweizen/Hefeweissbier",2007
"2957","Silver","Stoudts Weizen","Stoudt's Brewing Co.","Adamstown","PA","South German Style Hefeweizen/Hefeweissbier",2007
"2958","Bronze","Top Heavy Hefeweizen","Piece Brewery","Chicago","IL","South German Style Hefeweizen/Hefeweissbier",2007
"2959","Gold","Judgment Day","Port Brewing & The Lost Abbey","San Marcos","CA","Specialty Beer",2007
"2960","Silver","Maui Gold Summer Ale","Maui Brewing Co.","Lahaina","HI","Specialty Beer",2007
"2961","Bronze","Doble Diablo","Thunder Canyon Brewery","Tucson","AZ","Specialty Beer",2007
"2962","Bronze","Hawaiian Honey","Chicago Brewing Co.","Las Vegas","NV","Specialty Honey Lager or Ale",2007
"2963","Gold","MacPelican's Wee Heavy Strong Scotch Ale","Pelican Pub & Brewery","Pacific City","OR","Strong Scotch Ale",2007
"2964","Silver","Double Cream Stout","Bell's Brewery, Inc","Galesburg","MI","Sweet Stout",2007
"2965","Gold","Balto MC3=A4rzhon","Clipper City Brewing Co.","Baltimore","MD","Vienna Style Lager",2007
"2966","Silver","Kentucky Bourbon Barrel Ale","Alltech's Lexington Brewing Co.","Lexington","KY","Wood- and Barrel-Aged Beer",2007
"2967","Bronze","Buffalo Bock","Ram Restaurant & Brewery (Indianapolis)","Indianapolis","IN","Wood- and Barrel-Aged Beer",2007
"2968","Gold","Cuvee de Tomme","Port Brewing & The Lost Abbey","San Marcos","CA","Wood- and Barrel-Aged Sour Beer",2007
"2969","Bronze","Barrel-Aged Cherry","BJ's Restaurant & Brewery - Reno, NV & Chandler, AZ","Huntington Beach","CA","Wood- and Barrel-Aged Sour Beer",2007
"2970","Silver","Bourbon Barrel Anniversary Ale","Olde Peninsula Brewpub & Restaurant","Kalamazoo","MI","Wood- and Barrel-Aged Strong Beer",2007
"2971","Gold","Triple Exultation - 2004","Eel River Brewing Co.","Fortuna","CA","Aged Beer (Ale or Lager)",2006
"2972","Silver","Hibernation Ale 2005","Great Divide Brewing Co.","Denver","CO","Aged Beer (Ale or Lager)",2006
"2973","Gold","Red Dog","Miller Brewing Co.","Milwaukee","WI","American Cream Ale or Lager",2006
"2974","Silver","Amber Waves Ale","Capitol City Brewing Co.","Arlington","VA","American-Style Amber / Red Ale",2006
"2975","Bronze","Sharkbite Red Ale","Port Brewing Co.","Carlsbad","CA","American-Style Amber / Red Ale",2006
"2976","Gold","Steam Engine Lager","Steamworks Brewing Co.","Durango","CO","American-Style Amber Lager",2006
"2977","Silver","Toasted Lager","Blue Point Brewing Co.","Patchogue","NY","American-Style Amber Lager",2006
"2978","Bronze","Oktoberfist","Bluegrass Brewing Co.","Louisville","KY","American-Style Amber Lager",2006
"2979","Gold","Doryman's Dark Ale","Pelican Pub & Brewery","Pacific City","OR","American-Style Brown Ale",2006
"2980","Silver","Great American Brown","Pizza Port - Carlsbad","Carlsbad","CA","American-Style Brown Ale",2006
"2981","Bronze","Bear Tooth Ale","Moose's Tooth Brewing Co.","Anchorage","AK","American-Style Brown Ale",2006
"2982","Silver","Freidafest","Humperdinks Restaurant and Brewery","Dallas","TX","American-Style Dark Lager",2006
"2983","Bronze","Ziegenbock","Anheuser-Busch, Inc","Saint Louis","MO","American-Style Dark Lager",2006
"2984","Gold","Hefeweizen","Widmer Brothers Brewing Co.","Portland","OR","American-Style Hefeweizen",2006
"2985","Bronze","Mueller Unfiltered Wheat","Springfield Brewing Co.","Springfield","MO","American-Style Hefeweizen",2006
"2986","Gold","HopHead Imperial IPA","Bend Brewing Co.","Bend","OR","American-Style India Pale Ale",2006
"2987","Silver","Apex Ale","Bear Republic Brewing Co.","Healdsburg","CA","American-Style India Pale Ale",2006
"2988","Bronze","Taildragger IPA","Ram Restaurant and Big Horn Brewery - Boise","Boise","ID","American-Style India Pale Ale",2006
"2989","Gold","Pabst Blue Ribbon","Pabst Brewing Co.","Woodbridge","IL","American-Style Lager",2006
"2990","Silver","Miller High Life","Miller Brewing Co.","Milwaukee","WI","American-Style Lager",2006
"2991","Gold","Old Milwaukee Light","Pabst Brewing Co.","Woodbridge","IL","American-Style Light Lager",2006
"2992","Silver","Milwaukee's Best Light","Miller Brewing Co.","Milwaukee","WI","American-Style Light Lager",2006
"2993","Gold","Tumble Off Pale Ale","Barley Brown's Brew Pub","Baker City","OR","American-Style Pale Ale",2006
"2994","Silver","Brewmasters' Pale","Widmer Brothers Brewing Co.","Portland","OR","American-Style Pale Ale",2006
"2995","Bronze","XP Pale Ale","Bear Republic Brewing Co.","Healdsburg","CA","American-Style Pale Ale",2006
"2996","Gold","Mickey's Malt Liquor","Miller Brewing Co.","Milwaukee","WI","American-Style Specialty Lager",2006
"2997","Silver","Icehouse","Miller Brewing Co.","Milwaukee","WI","American-Style Specialty Lager",2006
"2998","Bronze","HG 800","Miller Brewing Co.","Milwaukee","WI","American-Style Specialty Lager",2006
"2999","Gold","Sticky Stout","Pizza Port - Carlsbad","Carlsbad","CA","American-Style Stout",2006
"3000","Silver","Oggis Black Majic Stout","Oggi's Pizza & Brewing Co.","San Clemente","CA","American-Style Stout",2006
"3001","Bronze","Terminal Oatmeal Stout","Rock Bottom Brewery - Chicago","Chicago","IL","American-Style Stout",2006
"3002","Silver","Racer's","Bear Republic Brewing Co.","Healdsburg","CA","American-Style Strong Pale Ale",2006
"3003","Silver","William Jones Wheat Beer","El Toro Brewing Co.","Morgan Hill","CA","American-Style Wheat Beer",2006
"3004","Silver","Raven","McKenzie Brew House","Glen Mills","PA","Baltic-Style Porter",2006
"3005","Silver","Stormwatcher's Winterfest","Pelican Pub & Brewery","Pacific City","OR","Barley Wine-Style Ale",2006
"3006","Bronze","Arctic Devil Barley Wine","Midnight Sun Brewing Co.","Anchorage","AK","Barley Wine-Style Ale",2006
"3007","Gold","Le Fleur Misseur","New Belgium Brewing Co.","Fort Collins","CO","Belgian-and French-Style Ale",2006
"3008","Silver","Dim Wit","BJ's Restaurant & Brewery - Chandler","Chandler","AZ","Belgian-and French-Style Ale",2006
"3009","Bronze","Belgian Double White Ale","Southampton Publick House","Southampton","NY","Belgian-and French-Style Ale",2006
"3010","Gold","Tripel Ale","Allagash Brewing Co.","Portland","ME","Belgian-Style Abbey Ale",2006
"3011","Silver","Adirondack Abbey Ale","Great Adirondack Brewing Co.","Lake Placid","NY","Belgian-Style Abbey Ale",2006
"3012","Bronze","Bishop's Tipple Tripel","Main Street Brewery","Corona","CA","Belgian-Style Abbey Ale",2006
"3013","Gold","La Folie","New Belgium Brewing Co.","Fort Collins","CO","Belgian-Style Sour Ale",2006
"3014","Silver","Beatification","Russian River Brewing Co.","Santa Rosa","CA","Belgian-Style Sour Ale",2006
"3015","Bronze","Festina Lente","Dogfish Head Craft Brewery","Milton","DE","Belgian-Style Sour Ale",2006
"3016","Gold","Golden Armor","CB & Potts Big Horn Brewery (Denver Tec)","Englewood","CO","Belgian-Style Strong Specialty Ale",2006
"3017","Silver","Interlude","Allagash Brewing Co.","Portland","ME","Belgian-Style Strong Specialty Ale",2006
"3018","Bronze","Reve II","Redrock Brewing Co.","Salt Lake City","UT","Belgian-Style Strong Specialty Ale",2006
"3019","Silver","Wits End","Great American Restaurants","Centreville","VA","Belgian-Style White (or Wit) / Belgian-Style Wheat",2006
"3020","Bronze","35th Anniversary Ale","Bull and Bush Pub and Brewery","Denver","CO","Belgian-Style White (or Wit) / Belgian-Style Wheat",2006
"3021","Gold","Raccoon Red","Rock Bottom Brewery - Bethesda","Bethesda","MD","Bitter",2006
"3022","Silver","Alaskan Pale","Alaskan Brewing and Bottling Co.","Juneau","AK","Bitter",2006
"3023","Bronze","Cutthroat Pale Ale","Uinta Brewing Co.","Salt Lake City","UT","Bitter",2006
"3024","Gold","Maibock","Blind Tiger Brewery Pub & Play","Topeka","KS","Bock",2006
"3025","Silver","TrC3=B6egenator D=ouble Bock","TrC3=B6egs Brewing Co.","Harrisburg","PA","Bock",2006
"3026","Gold","Schtolen Pils","Sandlot Brewery at Coors Field","Denver","CO","Bohemian Style Pilsener",2006
"3027","Silver","La Plata Pils","Carver Brewing Co.","Durango","CO","Bohemian Style Pilsener",2006
"3028","Bronze","Papa's Pilsner","75th Street Brewery Lawrence","Lawrence","KS","Bohemian Style Pilsener",2006
"3029","Gold","Molly Titanic","Rock Bottom Brewery - Denver","Denver","CO","Brown Porter",2006
"3030","Silver","St. Charles Porter","Blackstone Restaurant & Brewery","Nashville","TN","Brown Porter",2006
"3031","Bronze","Peter Brown Tribute Ale","Bear Republic Brewing Co.","Healdsburg","CA","Brown Porter",2006
"3032","Gold","Kellerbier","Herkimer Pub and Brewery","Minneapolis","MN","Cellar or Unfiltered Beer",2006
"3033","Silver","U.C.I.P.A.","Steelhead Brewery - Irvine","Irvine","CA","Cellar or Unfiltered Beer",2006
"3034","Bronze","Wild West Fest","Great American Restaurants","Centreville","VA","Cellar or Unfiltered Beer",2006
"3035","Silver","Mac's Ale","Pyramid Alehouse/Breweries Inc","Seattle","WA","Classic English Style Pale Ale",2006
"3036","Bronze","Denver Pale Ale","Great Divide Brewing Co.","Denver","CO","Classic English Style Pale Ale",2006
"3037","Silver","Slapshot Stout","Ram Restaurant and Big Horn Brewery - Seattle","Seattle","WA","Classic Irish-Style Dry Stout",2006
"3038","Bronze","Irish Stout","Morgan Territory Brewing","Antioch","CA","Classic Irish-Style Dry Stout",2006
"3039","Silver","Black Magic Java Stout","Barley Island Brewing Co.","Noblesville","IN","Coffee Flavored Beer",2006
"3040","Bronze","Arctic Rhino Cofree Porter","Midnight Sun Brewing Co.","Anchorage","AK","Coffee Flavored Beer",2006
"3041","Gold","India Pale Ale","Carolina Brewery","Chapel Hill","NC","English-Style India Pale Ale",2006
"3042","Silver","Beech Street Bitter","Pizza Port - Carlsbad","Carlsbad","CA","English-Style India Pale Ale",2006
"3043","Bronze","Triumph Bengal Gold I.P.A.","Triumph Brewing Co. of New Hope","New Hope","PA","English-Style India Pale Ale",2006
"3044","Gold","312 Urban Wheat Ale","Goose Island Beer Co.","Chicago","IL","English-Style Summer Ale",2006
"3045","Silver","Sandbagger Gold","Montana Brewing Co.","Billings","MT","English-Style Summer Ale",2006
"3046","Bronze","True Blonde Ale","Ska Brewing Co.","Durango","CO","English-Style Summer Ale",2006
"3047","Silver","Storm King","Glenwood Canyon Brewing Co.","Glenwood Springs","CO","European-Style Dark / Munchner Dunkel",2006
"3048","Bronze","Dunkel Rico","Stewart's Brewing Co.","Bear","DE","European-Style Dark / Munchner Dunkel",2006
"3049","Gold","Gold Mt. Pilsner","Silver City Brewing Co.","Silverdale","WA","European-Style Pilsener",2006
"3050","Silver","Schell Pilsner","August Schell Brewing Co.","New Ulm","MN","European-Style Pilsener",2006
"3051","Bronze","Widmer Export Lager","Widmer Brothers Brewing Co.","Portland","OR","European-Style Pilsener",2006
"3052","Gold","New Grist","Lakefront Brewery Inc","Milwaukee","WI","Experimental Beer",2006
"3053","Silver","Angry Mike's Stoudt Creek","Flossmoor Station Brewing Co.","Floosmoor","IL","Experimental Beer",2006
